2853	mt-cont
3662	mt-cont
3766	mt-cont
3092	mt-cont
4086	mt-cont
8856	mt-cont
4854	mt-cont
3968	mt-cont
4096	mt-cont
3331	mt-cont
3385	mt-cont
4088	mt-cont
3248	mt-cont
16281	mt-cont
4504	mt-cont
3178	mt-cont
4822	mt-cont
1897	mt-cont
6911	mt-cont
3222	mt-cont
3070	mt-cont
6084	mt-cont
3467	mt-cont
3669	mt-cont
4247	mt-cont
4020	mt-cont
4267	mt-cont
3170	mt-cont
4516	mt-cont
4531	mt-cont
8972	mt-cont
3862	mt-cont
8953	mt-cont
4175	mt-cont
9392	mt-cont
17261	mt-cont
3560	mt-cont
2046	mt-cont
4280	mt-cont
3597	mt-cont
3862	mt-cont
4371	mt-cont
4715	mt-cont
3048	mt-cont
3720	mt-cont
1889	mt-cont
13409	mt-cont
1794	mt-cont
3069	mt-cont
3041	mt-cont
3028	mt-cont
13798	mt-cont
3955	mt-cont
4019	mt-cont
6191	mt-cont
3940	mt-cont
4270	mt-cont
4499	mt-cont
2070	mt-cont
5111	mt-cont
4223	mt-cont
4011	mt-cont
3372	mt-cont
4708	mt-cont
2997	mt-cont
5700	mt-cont
7268	mt-cont
1605	mt-cont
4217	mt-cont
3068	mt-cont
4320	mt-cont
3026	mt-cont
3982	mt-cont
4067	mt-cont
10335	mt-cont
4248	mt-cont
3730	mt-cont
7794	mt-cont
3327	mt-cont
3195	mt-cont
3038	mt-cont
12788	mt-cont
6916	mt-cont
4425	mt-cont
3641	mt-cont
4796	mt-cont
2620	mt-cont
4081	mt-cont
6699	mt-cont
2286	mt-cont
14952	mt-cont
3843	mt-cont
3467	mt-cont
4200	mt-cont
3828	mt-cont
3264	mt-cont
2977	mt-cont
6262	mt-cont
2338	mt-cont
3068	mt-cont
3338	mt-cont
4423	mt-cont
3345	mt-cont
3590	mt-cont
3888	mt-cont
3137	mt-cont
2769	mt-cont
2274	mt-cont
3620	mt-cont
4779	mt-cont
2522	mt-cont
2166	mt-cont
6031	mt-cont
4440	mt-cont
2979	mt-cont
3205	mt-cont
4655	mt-cont
17861	mt-cont
3478	mt-cont
4902	mt-cont
11507	mt-cont
3726	mt-cont
4824	mt-cont
3094	mt-cont
2394	mt-cont
3142	mt-cont
5174	mt-cont
4058	mt-cont
3851	mt-cont
4231	mt-cont
2825	mt-cont
2714	mt-cont
3961	mt-cont
4687	mt-cont
4642	mt-cont
3231	mt-cont
3616	mt-cont
4313	mt-cont
3948	mt-cont
10069	mt-cont
2746	mt-cont
3654	mt-cont
4076	mt-cont
3827	mt-cont
5380	mt-cont
3354	mt-cont
1824	mt-cont
2376	mt-cont
3313	mt-cont
2935	mt-cont
4391	mt-cont
2895	mt-cont
18487	mt-cont
3654	mt-cont
4414	mt-cont
2399	mt-cont
3364	mt-cont
4185	mt-cont
4566	mt-cont
9802	mt-cont
4154	mt-cont
3631	mt-cont
2440	mt-cont
2528	mt-cont
4025	mt-cont
4657	mt-cont
3491	mt-cont
3004	mt-cont
2619	mt-cont
4283	mt-cont
2011	mt-cont
2171	mt-cont
1690	mt-cont
3832	mt-cont
4530	mt-cont
4450	mt-cont
4933	mt-cont
4067	mt-cont
4260	mt-cont
3098	mt-cont
5695	mt-cont
4023	mt-cont
4449	mt-cont
3209	mt-cont
7273	mt-cont
